Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
18-JUN-2024,20784.4,20825.4,20701,20809.75,1634622782,31541.48
19-JUN-2024,20879.95,20880.05,20504.05,20591.65,3300800499,59438.46
20-JUN-2024,20671.5,20780.6,20558.2,20766.7,1625965749,27874.46
21-JUN-2024,20863.1,20890.7,20696.75,20735.25,2785501431,39048.92
24-JUN-2024,20700.2,20831.75,20550,20784,1783040719,29149.38
25-JUN-2024,20855.2,20922.9,20697.9,20734.55,1306790751,22985.1
26-JUN-2024,20763.65,20789.75,20657.55,20680.7,2268776247,28631.4
27-JUN-2024,20729.75,20850.8,20574.7,20723.15,2400891357,39432.19
28-JUN-2024,20788.2,20893.9,20774.65,20831.95,2818921752,38183.98
01-JUL-2024,20898.35,21045.05,20851.2,21029.9,1490981257,26882.58
02-JUL-2024,21105.7,21117.85,20792.65,20909.9,1469774725,27058.56
03-JUL-2024,21021.1,21105.2,20966.8,21072.75,1572207187,28184.78
04-JUL-2024,21162.65,21238.95,21093.5,21215.3,1450272412,37109.39
05-JUL-2024,21246.25,21369.05,21185.8,21352.5,2300356190,38749.58
08-JUL-2024,21428.25,21444.75,21224.4,21289.35,1960453116,37534.41
09-JUL-2024,21387.75,21439.55,21257.3,21347.5,1555317008,32595.84
10-JUL-2024,21443.7,21453.8,20855.4,21266.6,1564555988,36518.96
11-JUL-2024,21370.5,21386.6,21251.6,21312.15,1805025896,34236.95
12-JUL-2024,21400.3,21401.85,21250.5,21300.25,1642551092,32764.24
15-JUL-2024,21395.15,21457.55,21223.5,21448.85,1766442689,30558.06
16-JUL-2024,21528.45,21554.45,21419.15,21456.5,1771308573,26816.05
18-JUL-2024,21452.95,21456.95,21135.85,21255.6,1651348555,31713.97
19-JUL-2024,21243.2,21243.2,20770.05,20812.25,1201255018,32543.84
22-JUL-2024,20740.8,21074.1,20589.95,21040.35,1465335133,30829.45
23-JUL-2024,21151.65,21165.85,20264.9,20947.8,2369611337,37782.3
24-JUL-2024,20962.45,21163.8,20930.95,21133.35,1418270762,29051.88
25-JUL-2024,20982.7,21132.25,20937.75,21080.45,1620743119,26749.77
26-JUL-2024,21168.95,21463.05,21165.05,21442.4,1766859125,30863.64
29-JUL-2024,21606.5,21671.75,21547.45,21644.85,1577522385,34153.78
30-JUL-2024,21685.35,21803.05,21655.65,21749.5,1225887776,27669.43
31-JUL-2024,21852.7,21913.1,21777.8,21860.95,1724683885,33001.27
01-AUG-2024,21960.8,21969.4,21598.3,21706.45,1249865649,25260.5
02-AUG-2024,21499.2,21617.45,21387.25,21492.25,1326490925,25478.94
05-AUG-2024,20917.25,21056.15,20594.75,20734.85,1948752188,33512.86
06-AUG-2024,20888.25,21138.85,20555.95,20611.15,1079444707,24289.38
07-AUG-2024,20969.25,21085.25,20786.9,21063.7,965173258,25634.77
08-AUG-2024,21114,21176.2,20964.65,20991,1141416000,25725.38
09-AUG-2024,21173.75,21233.65,21100.05,21151.35,966876806,23203.27
12-AUG-2024,21089.75,21247.45,20976.1,21208.7,1156120023,29539.51
13-AUG-2024,21298.9,21318.35,21010.55,21044.95,1306366349,23336.27
14-AUG-2024,21116.8,21135.35,20842.2,20917.75,1131062731,25121.51
16-AUG-2024,21061.25,21310.8,21027.35,21298.35,932882771,22921.52
19-AUG-2024,21413.35,21455.6,21302.5,21351.4,909217299,22407.27
20-AUG-2024,21452.4,21540.95,21386.65,21529.05,837027383,24337.73
21-AUG-2024,21547.1,21634.7,21500.4,21617.7,872760682,26979.83
22-AUG-2024,21719.7,21792.5,21687,21760.35,922385994,25499.82
23-AUG-2024,21801.65,21809.1,21633,21645.65,1103217937,25281.64
26-AUG-2024,21746.75,21778.5,21678,21758.45,800391994,23290.35
27-AUG-2024,21811.75,21884.05,21788.25,21869.75,984797597,28173.94
28-AUG-2024,21934.45,21943.4,21760.85,21838.7,995406215,24902
29-AUG-2024,21865.45,21880.5,21618.05,21741.35,1351428819,22640.07
30-AUG-2024,21832.6,21956.35,21773.15,21925.45,5193448613,63546.36
02-SEP-2024,22014.15,22015.15,21800.45,21862.85,1408399861,26848.46
03-SEP-2024,21912.25,21983.2,21892.9,21913.8,750559876,23764.41
04-SEP-2024,21763.1,21913.1,21721.35,21895.35,786797644,24953.5
05-SEP-2024,22002.95,22030.85,21943.55,21976.9,928416771,29590.76
06-SEP-2024,22003.95,22030.85,21639.4,21675.8,2471492805,26265.59
09-SEP-2024,21665.5,21672.7,21415.95,21621.4,1244232871,22622.33
10-SEP-2024,21766.45,21902.15,21757.05,21853.55,1065367519,23300.2
11-SEP-2024,21921.65,21991.6,21760.95,21798.95,1091828493,21370.3
12-SEP-2024,21963.5,22061.95,21893.5,22047.7,1049151530,21419.94
13-SEP-2024,22127,22243.55,22093.5,22190.35,888342413,26302.13
16-SEP-2024,22306.05,22314.85,22188.15,22264.7,831496703,24690.61
17-SEP-2024,22311.5,22320.6,22174.2,22235.35,651671636,20538
18-SEP-2024,22261.3,22283.45,21971.55,22079.9,789779759,24762.89
19-SEP-2024,22190.75,22245.85,21621.6,21965.15,3196525724,32079.34
20-SEP-2024,22064.4,22326.35,21971.8,22256.1,2336989922,39256.15
23-SEP-2024,22369.15,22442.55,22261.25,22423.7,2303333628,26995.39
24-SEP-2024,22481.75,22508.75,22431.1,22493.5,1095792035,22976.68
25-SEP-2024,22509.85,22515.4,22294.15,22357.4,903246333,22428.52
26-SEP-2024,22412.35,22416.3,22192.75,22367.85,1510162726,25068.36
27-SEP-2024,22410.55,22434.55,22323.85,22360.85,1830488636,28554.77
30-SEP-2024,22302.65,22363.1,22175.8,22311.95,1054782316,23074.32
01-OCT-2024,22339.75,22400.3,22221.15,22379.75,810886822,21045.88
